original_string	phrase	book	volume	pages
Estote misericordes … et non condemnabimini. (Lc 6, 36-37)	Estote misericordes … et non condemnabimini.	Lc	6	36-37
Factum est dum iret Ihesus Hierusalem … decem viri leprosi (Lc 17, 11-12)	Factum est dum iret Ihesus Hierusalem … decem viri leprosi	Lc	17	11-12
Ibat Ihesus in civitatem quae vocatur Naim et ibant cum illo … turba copiosa (Lc 7, 11)	Ibat Ihesus in civitatem quae vocatur Naim et ibant cum illo … turba copiosa	Lc	7	11
Oportet semper orare et non deficere (Lc 18, 1)	Oportet semper orare et non deficere	Lc	18	1
Non opus sanis medico sed male habentibus. Non veni vocare iustos sed peccatores (Lc 5, 31-32)	Non opus sanis medico sed male habentibus. Non veni vocare iustos sed peccatores	Lc	5	31-32
Et ecce unus accessit ad eum et ait ei magister … vitam aeternam (Lc 10, 25)	Et ecce unus accessit ad eum et ait ei magister … vitam aeternam	Lc	10	25
Nemo servus potest duobus dominis servire (Lc 16, 13)	Nemo servus potest duobus dominis servire	Lc	16	13
Dicebat autem Dominus Ihesus ad discipulos suos: homo quidam erat dives … in domos suas (Lc 16, 1-4)	Dicebat autem Dominus Ihesus ad discipulos suos: homo quidam erat dives … in domos suas	Lc	16	1-4
Et regressus est Iesus … in Galileam. (Lc 4, 14)	Et regressus est Iesus … in Galileam.	Lc	4	14
Cum appropinquaret Ihesus porte civitatis et ecce … loculum (Lc 7, 12-14)	Cum appropinquaret Ihesus porte civitatis et ecce … loculum	Lc	7	12-14
Erat Ihesus eiciens demonium … sunt turbe (Lc 11, 14)	Erat Ihesus eiciens demonium … sunt turbe	Lc	11	14
Surgens autem  de sinagoga Ihesus intravit in domum Symonis … magnis febribus (Lc 4, 38)	Surgens autem  de sinagoga Ihesus intravit in domum Symonis … magnis febribus	Lc	4	38
Socrus Symonis petri tenebatur magnis febribus (Lc 4, 38)	Socrus Symonis petri tenebatur magnis febribus	Lc	4	38
Et ut perfecerunt omnia secundum ...suam nazareh (Lc 2, 39)	Et ut perfecerunt omnia secundum ...suam nazareh	Lc	2	39
