Autore/Opera	author	opera	Forma
1 Cor 11, 20-12, 13	1 Cor 11	 20-12, 13	lectio
1 Cor 11, 20-24	1 Cor 11	 20-24	nan
1 Cor 11, 25-34	1 Cor 11	 25-34	nan
1 Cor 12, 1-13	1 Cor 12	 1-13	nan
1 Cr 21, 18-22, 16	1 Cr 21	 18-22, 16	lectio
1 Cr 28, 1-29, 21	1 Cr 28	 1-29, 21	lectio
1 Paralip. 21, 18-23, 5; 28, 1-29, 25	1 Paralip. 21	 18-23, 5; 28, 1-29, 25	lectio
1 Tm  3, 16	1 Tm  3	 16	lectio
2 Cor 11, 19-12, 9	2 Cor 11	 19-12, 9	lectio
2 Cr 5, 1-7, 16	2 Cr 5	 1-7, 16	lectio
Act 9, 1-28	Act 9	 1-28	lectio
Adalbertus Pragensis, Hom. in natale s. Alexii	Adalbertus Pragensis	 Hom. in natale s. Alexii	homelia (nct)
Alcuinus, In Ioh II, 5	Alcuinus	 In Ioh II, 5	homelia (nct)
Alphanus Salernitanus, Carm. 37 De s. Petro apostolo	Alphanus Salernitanus	 Carm. 37 De s. Petro apostolo	versus
Ambrosiaster, In Rm  8, 18	Ambrosiaster	 In Rm  8, 18	homelia (nct)
Ambrosiaster, In Rm 5, 18-6, 2	Ambrosiaster	 In Rm 5, 18-6, 2	lectio
Ambrosiaster, In Rm 6, 3-11	Ambrosiaster	 In Rm 6, 3-11	homelia (nct)
Ambrosiaster, in Rm 5, 5, 5-12	Ambrosiaster	 in Rm 5, 5, 5-12	homelia (nct)
Ambrosius, De fide II, 4, 37-8, 65; 9, 77-79; 10, 88-12, 106; 14, 128	Ambrosius	 De fide II, 4, 37-8, 65; 9, 77-79; 10, 88-12, 106; 14, 128	homelia (nct)
Ambrosius, De inst. virg. 33-35; 44-45; 51-64	Ambrosius	 De inst. virg. 33-35; 44-45; 51-64	homelia (nct)
Ambrosius, De virg. I, 2	Ambrosius	 De virg. I, 2	homelia (nct)
Ambrosius, De virg. I, 4-11	Ambrosius	 De virg. I, 4-11	homelia (nct)
Ambrosius, De virg. II, 6-17	Ambrosius	 De virg. II, 6-17	homelia (nct)
Ambrosius, De virg. II,2, 6-17	Ambrosius	 De virg. II,2, 6-17	homelia (nct)
Ambrosius, Ep. 77	Ambrosius	 Ep. 77	homelia (nct)
Ambrosius, In Lc 1, 17-21	Ambrosius	 In Lc 1, 17-21	homelia (nct)
Ambrosius, In Lc 8, 33-52	Ambrosius	 In Lc 8, 33-52	homelia (nct)
Ambrosius, In Lc I, 15-17	Ambrosius	 In Lc I, 15-17	homelia (nct)
Ambrosius, In Lc I, 15-46	Ambrosius	 In Lc I, 15-46	homelia (nct)
Ambrosius, In Lc I, 21-23	Ambrosius	 In Lc I, 21-23	homelia (nct)
Ambrosius, In Lc I, 24-42	Ambrosius	 In Lc I, 24-42	homelia (nct)
Ambrosius, In Lc I, 42-46	Ambrosius	 In Lc I, 42-46	homelia (nct)
Ambrosius, In Lc II,  30-35	Ambrosius	 In Lc II,  30-35	nan
Ambrosius, In Lc II, 1-18	Ambrosius	 In Lc II, 1-18	homelia (nct)
Ambrosius, In Lc II, 1-3; 4; 5-9; 14-29	Ambrosius	 In Lc II, 1-3; 4; 5-9; 14-29	homelia (nct)
Ambrosius, In Lc II, 1-3; 4; 5-9;14-29	Ambrosius	 In Lc II, 1-3; 4; 5-9;14-29	homelia (nct)
Ambrosius, In Lc II, 19-29	Ambrosius	 In Lc II, 19-29	homelia (nct)
Ambrosius, In Lc II, 30-35	Ambrosius	 In Lc II, 30-35	homelia (nct)
Ambrosius, In Lc II, 36-49	Ambrosius	 In Lc II, 36-49	homelia (nct)
Ambrosius, In Lc II, 55-62	Ambrosius	 In Lc II, 55-62	homelia (nct)
Ambrosius, In Lc II, 58-63	Ambrosius	 In Lc II, 58-63	homelia (nct)
Ambrosius, In Lc II, 63-66	Ambrosius	 In Lc II, 63-66	homelia (nct)
Ambrosius, In Lc II, 67-73	Ambrosius	 In Lc II, 67-73	homelia (nct)
Ambrosius, In Lc II, 67-82	Ambrosius	 In Lc II, 67-82	homelia (nct)
Ambrosius, In Lc II, 83; 90; 91	Ambrosius	 In Lc II, 83; 90; 91	homelia (nct)
Ambrosius, In Lc IV, 43-45	Ambrosius	 In Lc IV, 43-45	homelia (nct)
Ambrosius, In Lc IV, 43-46	Ambrosius	 In Lc IV, 43-46	homelia (nct)
Ambrosius, In Lc IV, 43-53	Ambrosius	 In Lc IV, 43-53	homelia (nct)
Ambrosius, In Lc IV, 43-56	Ambrosius	 In Lc IV, 43-56	homelia (nct)
Ambrosius, In Lc IV, 57-61	Ambrosius	 In Lc IV, 57-61	homelia (nct)
Ambrosius, In Lc IV, 57-67	Ambrosius	 In Lc IV, 57-67	homelia (nct)
Ambrosius, In Lc IV, 57-67	Ambrosius	 In Lc IV, 57-67	nan
Ambrosius, In Lc IV, 68-79	Ambrosius	 In Lc IV, 68-79	homelia (nct)
Ambrosius, In Lc V, 88-92	Ambrosius	 In Lc V, 88-92	homelia (nct)
Ambrosius, In Lc V, 89-92	Ambrosius	 In Lc V, 89-92	homelia (nct)
Ambrosius, In Lc VII	Ambrosius	 In Lc VII	homelia (nct)
Ambrosius, In Lc VII,  122-130	Ambrosius	 In Lc VII,  122-130	homelia (nct)
Ambrosius, In Lc VII, 100-108	Ambrosius	 In Lc VII, 100-108	homelia (nct)
Ambrosius, In Lc VII, 122-126	Ambrosius	 In Lc VII, 122-126	homelia (nct)
Ambrosius, In Lc VII, 122-130	Ambrosius	 In Lc VII, 122-130	homelia (nct)
Ambrosius, In Lc VII, 123-130	Ambrosius	 In Lc VII, 123-130	homelia (nct)
Ambrosius, In Lc VII, 173-175	Ambrosius	 In Lc VII, 173-175	homelia (nct)
Ambrosius, In Lc VII, 207-211	Ambrosius	 In Lc VII, 207-211	homelia (nct)
Ambrosius, In Lc VII, 46-65	Ambrosius	 In Lc VII, 46-65	homelia (nct)
Ambrosius, In Lc VII, 71-86	Ambrosius	 In Lc VII, 71-86	homelia (nct)
Ambrosius, In Lc VII, 87-90	Ambrosius	 In Lc VII, 87-90	homelia (nct)
Ambrosius, In Lc VII, 98-99	Ambrosius	 In Lc VII, 98-99	homelia (nct)
Ambrosius, In Lc VIII, 21-24	Ambrosius	 In Lc VIII, 21-24	homelia (nct)
Ambrosius, In Lc VIII, 21-27	Ambrosius	 In Lc VIII, 21-27	homelia (nct)
Ambrosius, In Lc VIII, 65-79	Ambrosius	 In Lc VIII, 65-79	homelia (nct)
Ambrosius, In Lc VIII, 80-90	Ambrosius	 In Lc VIII, 80-90	homelia (nct)
Ambrosius, In Lc X, 14-21	Ambrosius	 In Lc X, 14-21	homelia (nct)
Ambrosius, In Lc X, 14-21	Ambrosius	 In Lc X, 14-21	nan
Ambrosius, In Lc X, 147-174	Ambrosius	 In Lc X, 147-174	homelia (nct)
Ambrosius, in Lc IV, 68-79	Ambrosius	 in Lc IV, 68-79	homelia (nct)
Ambrosius, in Lc V, 83-88	Ambrosius	 in Lc V, 83-88	homelia (nct)
Ambrosius, in Lc VII, 122-130	Ambrosius	 in Lc VII, 122-130	homelia (nct)
Ambrosius Autpertus, De assumptione:	Ambrosius Autpertus	 De assumptione:	homelia (nct)
Ambrosius Autpertus, S. De transfiguratione	Ambrosius Autpertus	 S. De transfiguratione	homelia (nct)
Ambrosius Autpertus, S. de assumpt.	Ambrosius Autpertus	 S. de assumpt.	homelia (nct)
Ambrosius Autpertus, S. de assumpt., 10-12	Ambrosius Autpertus	 S. de assumpt., 10-12	homelia (nct)
Ambrosius Autpertus, S. de assumptione	Ambrosius Autpertus	 S. de assumptione	homelia (nct)
Ambrosius Autpertus, S. in purificatione s. Mariae	Ambrosius Autpertus	 S. in purificatione s. Mariae	homelia (nct)
Ambrosius Autpertus, S. in purificatione s. Mariae, 1-14	Ambrosius Autpertus	 S. in purificatione s. Mariae, 1-14	homelia (nct)
Ambrosius Autpertus, S. in purificatione s. Mariae, 1-2	Ambrosius Autpertus	 S. in purificatione s. Mariae, 1-2	homelia (nct)
Antipater Bostrensis, S. de beatissima virgine	Antipater Bostrensis	 S. de beatissima virgine	homelia (nct)
Ap 5, 1-8,5	Ap 5	 1-8,5	lectio
Ap. 1-4	Ap. 1-4		homelia (nct)
At 1, 1-26	At 1	 1-26	lectio
At 1-2, 41-47	At 1-2	 41-47	lectio
At 2, 1-47	At 2	 1-47	lectio
At 6-8, 2	At 6-8	 2	lectio
At 6-8, 4	At 6-8	 4	homelia (nct)
At 9, 1-31	At 9	 1-31	homelia (nct)
At 9, 1-31	At 9	 1-31	lectio
At II, 1-39	At II	 1-39	lectio
Augustin, Tract. in Io h. 83, 2-3 + 84	Augustin	 Tract. in Io h. 83, 2-3 + 84	homelia (nct)
Augustin, Tract. in Ioh. 118	Augustin	 Tract. in Ioh. 118	homelia (nct)
Augustinus,  Tract. in Io 123	Augustinus	  Tract. in Io 123	homelia (nct)
Augustinus, De S. Dom. in monte II, 18, 59-61	Augustinus	 De S. Dom. in monte II, 18, 59-61	homelia (nct)
Augustinus, De S. Dom. in monte II, 18, 63-66	Augustinus	 De S. Dom. in monte II, 18, 63-66	homelia (nct)
Augustinus, De Trin., VIII, 10	Augustinus	 De Trin., VIII, 10	homelia (nct)
Augustinus, De civ. XVIII, 26-36	Augustinus	 De civ. XVIII, 26-36	nan
Augustinus, De civ. XX, 5	Augustinus	 De civ. XX, 5	homelia (nct)
Augustinus, De consensu evangelistarum III, 24, 65	Augustinus	 De consensu evangelistarum III, 24, 65	homelia (nct)
Augustinus, De doctr. Christ. I, 37-40	Augustinus	 De doctr. Christ. I, 37-40	homelia (nct)
Augustinus, De s. Dom. in monte II, 18, 59-19, 66	Augustinus	 De s. Dom. in monte II, 18, 59-19, 66	homelia (nct)
Augustinus, De s. Dom. in monte II, 18, 59-61	Augustinus	 De s. Dom. in monte II, 18, 59-61	homelia (nct)
Augustinus, De s. Dom. in monte II, 19, 63-66	Augustinus	 De s. Dom. in monte II, 19, 63-66	homelia (nct)
Augustinus, Divers. quaest. 83, 59 (= Eugippius, Exc. Aug. 277)	Augustinus	 Divers. quaest. 83, 59 (= Eugippius, Exc. Aug. 277)	homelia (nct)
Augustinus, Ep. 111	Augustinus	 Ep. 111	nan
Augustinus, In Io II	Augustinus	 In Io II	homelia (nct)
Augustinus, In Ps 63, 15-16	Augustinus	 In Ps 63, 15-16	nan
Augustinus, In Ps 63, 2-3	Augustinus	 In Ps 63, 2-3	homelia (nct)
Augustinus, In Ps 63, 8-13	Augustinus	 In Ps 63, 8-13	homelia (nct)
Augustinus, In Ps, 63, 2-8	Augustinus	 In Ps, 63, 2-8	homelia (nct)
Augustinus, In Ps, 63, 2-8	Augustinus	 In Ps, 63, 2-8	nan
Augustinus, In Ps. 63, 8-13	Augustinus	 In Ps. 63, 8-13	nan
Augustinus, Quaest. Ev. II, 19 (= Eugippius, Exc. Aug., 170)	Augustinus	 Quaest. Ev. II, 19 (= Eugippius, Exc. Aug., 170)	homelia (nct)
Augustinus, Quaest. Ev. II, 34 (= Eugippius, Exc. Aug., 175 )	Augustinus	 Quaest. Ev. II, 34 (= Eugippius, Exc. Aug., 175 )	homelia (nct)
Augustinus, S. (dubius) 377	Augustinus	 S. (dubius) 377	nan
Augustinus, S. 104	Augustinus	 S. 104	homelia (nct)
Augustinus, S. 104	Augustinus	 S. 104	nan
Augustinus, S. 107 A (Lambot 5)	Augustinus	 S. 107 A (Lambot 5)	homelia (nct)
Augustinus, S. 110	Augustinus	 S. 110	homelia (nct)
Augustinus, S. 112 A	Augustinus	 S. 112 A	nan
Augustinus, S. 112 A	Augustinus	 S. 112 A	homelia (nct)
Augustinus, S. 114	Augustinus	 S. 114	homelia (nct)
Augustinus, S. 114	Augustinus	 S. 114	nan
Augustinus, S. 123	Augustinus	 S. 123	homelia (nct)
Augustinus, S. 135 [cfr. Ps. Fulgentius, S. 35 (36)]	Augustinus	 S. 135 [cfr. Ps. Fulgentius, S. 35 (36)]	homelia (nct)
Augustinus, S. 136B (=Lambot 10)	Augustinus	 S. 136B (=Lambot 10)	nan
Augustinus, S. 136C (=Lambot 11)	Augustinus	 S. 136C (=Lambot 11)	nan
Augustinus, S. 145A	Augustinus	 S. 145A	homelia (nct)
Augustinus, S. 145A	Augustinus	 S. 145A	nan
Augustinus, S. 147	Augustinus	 S. 147	homelia (nct)
Augustinus, S. 167	Augustinus	 S. 167	homelia (nct)
Augustinus, S. 184	Augustinus	 S. 184	homelia (nct)
Augustinus, S. 185	Augustinus	 S. 185	homelia (nct)
Augustinus, S. 186	Augustinus	 S. 186	nan
Augustinus, S. 189	Augustinus	 S. 189	homelia (nct)
Augustinus, S. 190	Augustinus	 S. 190	homelia (nct)
Augustinus, S. 191	Augustinus	 S. 191	nan
Augustinus, S. 192	Augustinus	 S. 192	homelia (nct)
Augustinus, S. 193	Augustinus	 S. 193	homelia (nct)
Augustinus, S. 194	Augustinus	 S. 194	nan
Augustinus, S. 195	Augustinus	 S. 195	homelia (nct)
Augustinus, S. 199	Augustinus	 S. 199	homelia (nct)
Augustinus, S. 199	Augustinus	 S. 199	sermo
Augustinus, S. 200	Augustinus	 S. 200	homelia (nct)
Augustinus, S. 201	Augustinus	 S. 201	homelia (nct)
Augustinus, S. 201	Augustinus	 S. 201	nan
Augustinus, S. 202	Augustinus	 S. 202	homelia (nct)
Augustinus, S. 210	Augustinus	 S. 210	homelia (nct)
Augustinus, S. 210, 4-10	Augustinus	 S. 210, 4-10	nan
Augustinus, S. 225	Augustinus	 S. 225	homelia (nct)
Augustinus, S. 226	Augustinus	 S. 226	homelia (nct)
Augustinus, S. 227 (con varianti)	Augustinus	 S. 227 (con varianti)	homelia (nct)
Augustinus, S. 229 H  (Morin, 12), 1-2	Augustinus	 S. 229 H  (Morin, 12), 1-2	nan
Augustinus, S. 229 H (= Morin Guelf. 12), 1-2 (con conclusione pseudoepigrafa)	Augustinus	 S. 229 H (= Morin Guelf. 12), 1-2 (con conclusione pseudoepigrafa)	homelia (nct)
Augustinus, S. 229 O (= Morin, Guelf. 17)	Augustinus	 S. 229 O (= Morin, Guelf. 17)	nan
Augustinus, S. 229 O (= Morin, Guelf. 17)	Augustinus	 S. 229 O (= Morin, Guelf. 17)	homelia (nct)
Augustinus, S. 229 P (= Lambot 3)	Augustinus	 S. 229 P (= Lambot 3)	homelia (nct)
Augustinus, S. 235, 2	Augustinus	 S. 235, 2	homelia (nct)
Augustinus, S. 235; Ps. Fulgentius, S. 35 (36)	Augustinus	 S. 235; Ps. Fulgentius, S. 35 (36)	homelia (nct)
Augustinus, S. 239, 2; 4	Augustinus	 S. 239, 2; 4	homelia (nct)
Augustinus, S. 263, 1-2	Augustinus	 S. 263, 1-2	homelia (nct)
Augustinus, S. 265	Augustinus	 S. 265	homelia (nct)
Augustinus, S. 265B	Augustinus	 S. 265B	nan
Augustinus, S. 265B	Augustinus	 S. 265B	homelia (nct)
Augustinus, S. 277 A (= Caillau I, 47)	Augustinus	 S. 277 A (= Caillau I, 47)	homelia (nct)
Augustinus, S. 285, 1-3; 7	Augustinus	 S. 285, 1-3; 7	homelia (nct)
Augustinus, S. 287	Augustinus	 S. 287	homelia (nct)
Augustinus, S. 292	Augustinus	 S. 292	nan
Augustinus, S. 293 C (= Mai 101) (seguito da una breve conclusione)	Augustinus	 S. 293 C (= Mai 101) (seguito da una breve conclusione)	nan
Augustinus, S. 296	Augustinus	 S. 296	nan
Augustinus, S. 298	Augustinus	 S. 298	homelia (nct)
Augustinus, S. 299 B, 4-5 (= Morin Guelf. 23)	Augustinus	 S. 299 B, 4-5 (= Morin Guelf. 23)	homelia (nct)
Augustinus, S. 299 C, 1-3	Augustinus	 S. 299 C, 1-3	homelia (nct)
Augustinus, S. 299 C, 4-5	Augustinus	 S. 299 C, 4-5	homelia (nct)
Augustinus, S. 299 C, 4-7	Augustinus	 S. 299 C, 4-7	homelia (nct)
Augustinus, S. 299 F (= Lambot 9)	Augustinus	 S. 299 F (= Lambot 9)	homelia (nct)
Augustinus, S. 304	Augustinus	 S. 304	homelia (nct)
Augustinus, S. 31	Augustinus	 S. 31	homelia (nct)
Augustinus, S. 313 B (Denis 15)	Augustinus	 S. 313 B (Denis 15)	homelia (nct)
Augustinus, S. 313 D (= Morin Guelf. 27)	Augustinus	 S. 313 D (= Morin Guelf. 27)	homelia (nct)
Augustinus, S. 313 E (= Morin Guelf. 28)	Augustinus	 S. 313 E (= Morin Guelf. 28)	homelia (nct)
Augustinus, S. 314	Augustinus	 S. 314	nan
Augustinus, S. 314	Augustinus	 S. 314	homelia (nct)
Augustinus, S. 316	Augustinus	 S. 316	homelia (nct)
Augustinus, S. 316	Augustinus	 S. 316	nan
Augustinus, S. 318	Augustinus	 S. 318	homelia (nct)
Augustinus, S. 330	Augustinus	 S. 330	homelia (nct)
Augustinus, S. 334	Augustinus	 S. 334	homelia (nct)
Augustinus, S. 335 A (= Frangipane 6)	Augustinus	 S. 335 A (= Frangipane 6)	homelia (nct)
Augustinus, S. 335 D (= Lambot 6)	Augustinus	 S. 335 D (= Lambot 6)	homelia (nct)
Augustinus, S. 335 E (= Lambot 7)	Augustinus	 S. 335 E (= Lambot 7)	homelia (nct)
Augustinus, S. 335 F (= Lambot 14)	Augustinus	 S. 335 F (= Lambot 14)	homelia (nct)
Augustinus, S. 335 G (Lambot 15)	Augustinus	 S. 335 G (Lambot 15)	homelia (nct)
Augustinus, S. 336 (versione abbreviata)	Augustinus	 S. 336 (versione abbreviata)	homelia (nct)
Augustinus, S. 350	Augustinus	 S. 350	homelia (nct)
Augustinus, S. 350, 1-3	Augustinus	 S. 350, 1-3	homelia (nct)
Augustinus, S. 359 A (= Lambot 4)	Augustinus	 S. 359 A (= Lambot 4)	homelia (nct)
Augustinus, S. 369	Augustinus	 S. 369	nan
Augustinus, S. 369	Augustinus	 S. 369	homelia (nct)
Augustinus, S. 378	Augustinus	 S. 378	homelia (nct)
Augustinus, S. 381	Augustinus	 S. 381	homelia (nct)
Augustinus, S. 395	Augustinus	 S. 395	homelia (nct)
Augustinus, S. 396 D (= Lambot 8)	Augustinus	 S. 396 D (= Lambot 8)	homelia (nct)
Augustinus, S. 64 (= Lambot 12)	Augustinus	 S. 64 (= Lambot 12)	homelia (nct)
Augustinus, S. 71	Augustinus	 S. 71	homelia (nct)
Augustinus, S. 73 A (= Caillau II, 5)	Augustinus	 S. 73 A (= Caillau II, 5)	homelia (nct)
Augustinus, S. 75	Augustinus	 S. 75	homelia (nct)
Augustinus, S. 82	Augustinus	 S. 82	homelia (nct)
Augustinus, S. 82	Augustinus	 S. 82	nan
Augustinus, S. 83	Augustinus	 S. 83	nan
Augustinus, S. 93	Augustinus	 S. 93	homelia (nct)
Augustinus, S. 94 A	Augustinus	 S. 94 A	homelia (nct)
Augustinus, S. 97	Augustinus	 S. 97	homelia (nct)
Augustinus, S. 97 A	Augustinus	 S. 97 A	homelia (nct)
Augustinus, S. Frangipane 7 [= 293A]	Augustinus	 S. Frangipane 7 [= 293A]	homelia (nct)
Augustinus, S. Frangipane 8	Augustinus	 S. Frangipane 8	homelia (nct)
Augustinus, Tract in Ioh 119-120, 5	Augustinus	 Tract in Ioh 119-120, 5	homelia (nct)
Augustinus, Tract, in Ioh. 56	Augustinus	 Tract, in Ioh. 56	homelia (nct)
Augustinus, Tract. In Io 11, 3-7; 15	Augustinus	 Tract. In Io 11, 3-7; 15	homelia (nct)
Augustinus, Tract. In Io 12, 12-14	Augustinus	 Tract. In Io 12, 12-14	homelia (nct)
Augustinus, Tract. In Io 16, 3-7	Augustinus	 Tract. In Io 16, 3-7	homelia (nct)
Augustinus, Tract. In Io 74, 1	Augustinus	 Tract. In Io 74, 1	homelia (nct)
Augustinus, Tract. In Ioh 29	Augustinus	 Tract. In Ioh 29	homelia (nct)
Augustinus, Tract. In Ioh 43	Augustinus	 Tract. In Ioh 43	homelia (nct)
Augustinus, Tract. In Ioh. 1	Augustinus	 Tract. In Ioh. 1	homelia (nct)
Augustinus, Tract. In Ioh. 15	Augustinus	 Tract. In Ioh. 15	nan
Augustinus, Tract. In Ioh. 32	Augustinus	 Tract. In Ioh. 32	homelia (nct)
Augustinus, Tract. In Ioh. 34	Augustinus	 Tract. In Ioh. 34	homelia (nct)
Augustinus, Tract. In Ioh. 49, 1-25	Augustinus	 Tract. In Ioh. 49, 1-25	nan
Augustinus, Tract. In Ioh. 74, 1	Augustinus	 Tract. In Ioh. 74, 1	homelia (nct)
Augustinus, Tract. In Ioh. 92	Augustinus	 Tract. In Ioh. 92	homelia (nct)
Augustinus, Tract. In Ioh. 93	Augustinus	 Tract. In Ioh. 93	homelia (nct)
Augustinus, Tract. in Io 24	Augustinus	 Tract. in Io 24	homelia (nct)
Augustinus, Tract. in Io 45, 1-6	Augustinus	 Tract. in Io 45, 1-6	homelia (nct)
Augustinus, Tract. in Io 5, 1-9,; 20	Augustinus	 Tract. in Io 5, 1-9,; 20	homelia (nct)
Augustinus, Tract. in Io 67-68	Augustinus	 Tract. in Io 67-68	homelia (nct)
Augustinus, Tract. in Io 69	Augustinus	 Tract. in Io 69	homelia (nct)
Augustinus, Tract. in Io 80-81	Augustinus	 Tract. in Io 80-81	homelia (nct)
Augustinus, Tract. in Ioh 10, 1-6	Augustinus	 Tract. in Ioh 10, 1-6	homelia (nct)
Augustinus, Tract. in Ioh 112-118	Augustinus	 Tract. in Ioh 112-118	homelia (nct)
Augustinus, Tract. in Ioh 12, 14	Augustinus	 Tract. in Ioh 12, 14	homelia (nct)
Augustinus, Tract. in Ioh 3, 1-10	Augustinus	 Tract. in Ioh 3, 1-10	homelia (nct)
Augustinus, Tract. in Ioh 31, 8-11 + 32, 1-8	Augustinus	 Tract. in Ioh 31, 8-11 + 32, 1-8	homelia (nct)
Augustinus, Tract. in Ioh 34-36, 1-2	Augustinus	 Tract. in Ioh 34-36, 1-2	homelia (nct)
Augustinus, Tract. in Ioh 34-36, 1-2	Augustinus	 Tract. in Ioh 34-36, 1-2	nan
Augustinus, Tract. in Ioh 37	Augustinus	 Tract. in Ioh 37	homelia (nct)
Augustinus, Tract. in Ioh 42, 14- 16	Augustinus	 Tract. in Ioh 42, 14- 16	homelia (nct)
Augustinus, Tract. in Ioh 42, 15-16 + 43	Augustinus	 Tract. in Ioh 42, 15-16 + 43	homelia (nct)
Augustinus, Tract. in Ioh 49, 1-12	Augustinus	 Tract. in Ioh 49, 1-12	homelia (nct)
Augustinus, Tract. in Ioh 50, 5-14	Augustinus	 Tract. in Ioh 50, 5-14	homelia (nct)
Augustinus, Tract. in Ioh 51, 1-8	Augustinus	 Tract. in Ioh 51, 1-8	homelia (nct)
Augustinus, Tract. in Ioh 52	Augustinus	 Tract. in Ioh 52	nan
Augustinus, Tract. in Ioh 55-56	Augustinus	 Tract. in Ioh 55-56	homelia (nct)
Augustinus, Tract. in Ioh 59	Augustinus	 Tract. in Ioh 59	homelia (nct)
Augustinus, Tract. in Ioh 59-60	Augustinus	 Tract. in Ioh 59-60	homelia (nct)
Augustinus, Tract. in Ioh, 121, 4-5	Augustinus	 Tract. in Ioh, 121, 4-5	homelia (nct)
Augustinus, Tract. in Ioh.  43	Augustinus	 Tract. in Ioh.  43	homelia (nct)
Augustinus, Tract. in Ioh.  48, 1-6	Augustinus	 Tract. in Ioh.  48, 1-6	homelia (nct)
Augustinus, Tract. in Ioh. 10	Augustinus	 Tract. in Ioh. 10	homelia (nct)
Augustinus, Tract. in Ioh. 10	Augustinus	 Tract. in Ioh. 10	nan
Augustinus, Tract. in Ioh. 10 +11, 2	Augustinus	 Tract. in Ioh. 10 +11, 2	homelia (nct)
Augustinus, Tract. in Ioh. 10, 1-4	Augustinus	 Tract. in Ioh. 10, 1-4	homelia (nct)
Augustinus, Tract. in Ioh. 10, 1-6	Augustinus	 Tract. in Ioh. 10, 1-6	homelia (nct)
Augustinus, Tract. in Ioh. 10-11, 1-2	Augustinus	 Tract. in Ioh. 10-11, 1-2	homelia (nct)
Augustinus, Tract. in Ioh. 10-11, 1-2	Augustinus	 Tract. in Ioh. 10-11, 1-2	sermo
Augustinus, Tract. in Ioh. 101	Augustinus	 Tract. in Ioh. 101	homelia (nct)
Augustinus, Tract. in Ioh. 102	Augustinus	 Tract. in Ioh. 102	homelia (nct)
Augustinus, Tract. in Ioh. 103	Augustinus	 Tract. in Ioh. 103	homelia (nct)
Augustinus, Tract. in Ioh. 104	Augustinus	 Tract. in Ioh. 104	homelia (nct)
Augustinus, Tract. in Ioh. 11	Augustinus	 Tract. in Ioh. 11	homelia (nct)
Augustinus, Tract. in Ioh. 112, 1-3	Augustinus	 Tract. in Ioh. 112, 1-3	homelia (nct)
Augustinus, Tract. in Ioh. 112-113	Augustinus	 Tract. in Ioh. 112-113	homelia (nct)
Augustinus, Tract. in Ioh. 119	Augustinus	 Tract. in Ioh. 119	homelia (nct)
Augustinus, Tract. in Ioh. 120, 1-5 [interpolato]	Augustinus	 Tract. in Ioh. 120, 1-5 [interpolato]	homelia (nct)
Augustinus, Tract. in Ioh. 120, 6-9	Augustinus	 Tract. in Ioh. 120, 6-9	homelia (nct)
Augustinus, Tract. in Ioh. 121, 1-4	Augustinus	 Tract. in Ioh. 121, 1-4	homelia (nct)
Augustinus, Tract. in Ioh. 121, 4-5	Augustinus	 Tract. in Ioh. 121, 4-5	homelia (nct)
Augustinus, Tract. in Ioh. 122	Augustinus	 Tract. in Ioh. 122	homelia (nct)
Augustinus, Tract. in Ioh. 123, 4-5	Augustinus	 Tract. in Ioh. 123, 4-5	homelia (nct)
Augustinus, Tract. in Ioh. 123, 4-5	Augustinus	 Tract. in Ioh. 123, 4-5	nan
Augustinus, Tract. in Ioh. 124	Augustinus	 Tract. in Ioh. 124	homelia (nct)
Augustinus, Tract. in Ioh. 124 (versione abbreviata)	Augustinus	 Tract. in Ioh. 124 (versione abbreviata)	homelia (nct)
Augustinus, Tract. in Ioh. 15	Augustinus	 Tract. in Ioh. 15	homelia (nct)
Augustinus, Tract. in Ioh. 15, 1-11	Augustinus	 Tract. in Ioh. 15, 1-11	homelia (nct)
Augustinus, Tract. in Ioh. 15, 5-33	Augustinus	 Tract. in Ioh. 15, 5-33	sermo
Augustinus, Tract. in Ioh. 15, 5-33	Augustinus	 Tract. in Ioh. 15, 5-33	homelia (nct)
Augustinus, Tract. in Ioh. 16, 3-7	Augustinus	 Tract. in Ioh. 16, 3-7	homelia (nct)
Augustinus, Tract. in Ioh. 16, 3-7	Augustinus	 Tract. in Ioh. 16, 3-7	nan
Augustinus, Tract. in Ioh. 17	Augustinus	 Tract. in Ioh. 17	homelia (nct)
Augustinus, Tract. in Ioh. 17	Augustinus	 Tract. in Ioh. 17	nan
Augustinus, Tract. in Ioh. 17, 1-12	Augustinus	 Tract. in Ioh. 17, 1-12	nan
Augustinus, Tract. in Ioh. 24	Augustinus	 Tract. in Ioh. 24	homelia (nct)
Augustinus, Tract. in Ioh. 24	Augustinus	 Tract. in Ioh. 24	nan
Augustinus, Tract. in Ioh. 26	Augustinus	 Tract. in Ioh. 26	homelia (nct)
Augustinus, Tract. in Ioh. 28	Augustinus	 Tract. in Ioh. 28	homelia (nct)
Augustinus, Tract. in Ioh. 28	Augustinus	 Tract. in Ioh. 28	nan
Augustinus, Tract. in Ioh. 28, 1-6	Augustinus	 Tract. in Ioh. 28, 1-6	homelia (nct)
Augustinus, Tract. in Ioh. 29	Augustinus	 Tract. in Ioh. 29	nan
Augustinus, Tract. in Ioh. 29, 1-7	Augustinus	 Tract. in Ioh. 29, 1-7	homelia (nct)
Augustinus, Tract. in Ioh. 29-30	Augustinus	 Tract. in Ioh. 29-30	homelia (nct)
